,DAY,HOUR,MINUTE,TOD
0,0.0,0,0,0
1,0.0,0,30,0
2,0.0,1,0,0
3,0.0,1,30,0
4,0.0,2,0,0
5,0.0,2,30,0
6,0.0,3,0,0
7,0.0,3,30,0
8,0.0,4,0,0
9,0.0,4,30,0
10,0.0,5,0,0
11,0.0,5,30,2
12,0.0,6,0,2
13,0.0,6,30,4
14,0.0,7,0,1
15,0.0,7,30,1
16,0.0,8,0,1
17,0.0,8,30,1
18,0.0,9,0,1
19,0.0,9,30,1
20,0.0,10,0,1
21,0.0,10,30,1
22,0.0,11,0,1
23,0.0,11,30,1
24,0.0,12,0,1
25,0.0,12,30,4
26,0.0,13,0,1
27,0.0,13,30,1
28,0.0,14,0,1
29,0.0,14,30,1
30,0.0,15,0,1
31,0.0,15,30,1
32,0.0,16,0,1
33,0.0,16,30,3
34,0.0,17,0,3
35,0.0,17,30,3
36,0.0,18,0,3
37,0.0,18,30,3
38,0.0,19,0,3
39,0.0,19,30,4
40,0.0,20,0,4
41,0.0,20,30,4
42,0.0,21,0,4
43,0.0,21,30,2
44,0.0,22,0,2
45,0.0,22,30,2
46,0.0,23,0,2
47,0.0,23,30,0
0,1.0,0,0,1
1,1.0,0,30,3
2,1.0,1,0,3
3,1.0,1,30,3
4,1.0,2,0,3
5,1.0,2,30,3
6,1.0,3,0,3
7,1.0,3,30,3
8,1.0,4,0,3
9,1.0,4,30,3
10,1.0,5,0,3
11,1.0,5,30,1
12,1.0,6,0,1
13,1.0,6,30,2
14,1.0,7,0,2
15,1.0,7,30,2
16,1.0,8,0,2
17,1.0,8,30,0
18,1.0,9,0,0
19,1.0,9,30,4
20,1.0,10,0,0
21,1.0,10,30,4
22,1.0,11,0,4
23,1.0,11,30,4
24,1.0,12,0,4
25,1.0,12,30,4
26,1.0,13,0,4
27,1.0,13,30,4
28,1.0,14,0,4
29,1.0,14,30,4
30,1.0,15,0,0
31,1.0,15,30,0
32,1.0,16,0,0
33,1.0,16,30,4
34,1.0,17,0,4
35,1.0,17,30,0
36,1.0,18,0,0
37,1.0,18,30,0
38,1.0,19,0,2
39,1.0,19,30,2
40,1.0,20,0,2
41,1.0,20,30,2
42,1.0,21,0,2
43,1.0,21,30,2
44,1.0,22,0,1
45,1.0,22,30,1
46,1.0,23,0,1
47,1.0,23,30,3
0,2.0,0,0,1
1,2.0,0,30,1
2,2.0,1,0,1
3,2.0,1,30,1
4,2.0,2,0,1
5,2.0,2,30,1
6,2.0,3,0,1
7,2.0,3,30,1
8,2.0,4,0,1
9,2.0,4,30,1
10,2.0,5,0,1
11,2.0,5,30,1
12,2.0,6,0,3
13,2.0,6,30,3
14,2.0,7,0,3
15,2.0,7,30,3
16,2.0,8,0,3
17,2.0,8,30,2
18,2.0,9,0,2
19,2.0,9,30,2
20,2.0,10,0,0
21,2.0,10,30,0
22,2.0,11,0,0
23,2.0,11,30,0
24,2.0,12,0,0
25,2.0,12,30,4
26,2.0,13,0,4
27,2.0,13,30,0
28,2.0,14,0,4
29,2.0,14,30,0
30,2.0,15,0,0
31,2.0,15,30,0
32,2.0,16,0,0
33,2.0,16,30,0
34,2.0,17,0,0
35,2.0,17,30,0
36,2.0,18,0,0
37,2.0,18,30,2
38,2.0,19,0,2
39,2.0,19,30,2
40,2.0,20,0,2
41,2.0,20,30,2
42,2.0,21,0,2
43,2.0,21,30,3
44,2.0,22,0,3
45,2.0,22,30,3
46,2.0,23,0,3
47,2.0,23,30,1
